"id" "Name" "Lon" "Lat"
618 "carinhanha,ba" -43.765 -14.305
619 "belmonte,ba" -38.883 -15.863
620 "monteazul,mg" -42.875 -15.155
621 "matoverde,mg" -42.866 -15.397
622 "pirapora,mg" -44.942 -17.345
623 "diamantina,mg" -43.6 -18.249
624 "januaria,mg" -44.362 -15.488
625 "saofrancisco,mg" -44.864 -15.949
626 "brasiliademinas,mg" -44.429 -16.208
627 "mirabela,mg" -44.164 -16.263
628 "prudentedemorais,mg" -44.155 -19.482
629 "matozinhos,mg" -44.081 -19.558
630 "pedroleopoldo,mg" -44.043 -19.618
631 "betim,mg" -44.198 -19.968
632 "aracatuba,sp" -50.433 -21.209
633 "penapolis,sp" -50.078 -21.42
634 "mirandopolis,sp" -51.102 -21.134
635 "treslagoas,ms" -51.678 -20.751
636 "naque,mg" -42.328 -19.23
637 "freiinocencio,mg" -41.922 -18.545
638 "itambacuri,mg" -41.685 -18.031
